speakerid,age,age_onset,birthplace,filename,native_language,sex,country,file_missing?
109,43.0,0.0,"castro valley, california, usa",english49,english,male,usa,False
110,62.0,0.0,"fairfax, virginia, usa",english5,english,male,usa,False
111,29.0,0.0,"baltic, south dakota, usa",english50,english,female,usa,False
112,67.0,0.0,"detroit, michigan, usa",english51,english,male,usa,False
113,20.0,0.0,"calgary, alberta, canada",english52,english,male,canada,False
114,63.0,0.0,"syracuse, new york, usa",english53,english,male,usa,False
115,40.0,0.0,"new albany, indiana, usa",english54,english,female,usa,False
116,53.0,0.0,"st. louis, missouri, usa",english55,english,female,usa,False
117,20.0,0.0,"londonderry, northern ireland, uk",english56,english,male,uk,False
118,34.0,0.0,"birmingham 1, uk",english57,english,male,uk,False
119,46.0,0.0,"southhampton, uk",english58,english,female,uk,False
120,30.0,0.0,"columbus, ohio, usa",english59,english,male,usa,False
121,45.0,0.0,"brooklyn, new york, usa",english6,english,female,usa,False
122,18.0,0.0,"chesapeake, virginia, usa",english60,english,male,usa,False
123,19.0,0.0,"toronto, ontario, canada",english61,english,male,canada,False
124,30.0,0.0,"west jordan, utah, usa",english62,english,male,usa,False
125,21.0,0.0,"lewisville, texas, usa",english63,english,male,usa,False
126,25.0,0.0,"montreal, quebec, canada",english64,english,female,canada,False
127,47.0,0.0,"lewistown, pennsylvania, usa",english65,english,male,usa,False
128,19.0,0.0,"baltimore, maryland, usa",english66,english,male,usa,False
129,37.0,0.0,"princeton, indiana, usa",english67,english,male,usa,False
130,52.0,0.0,"new york, new york, usa",english68,english,male,usa,False
131,23.0,0.0,"adelaide, australia",english69,english,male,australia,False
132,52.0,0.0,"macon, mississippi, usa",english7,english,male,usa,False
133,21.0,0.0,"beaumont, texas, usa",english70,english,male,usa,False
134,20.0,0.0,"west covina, california, usa",english71,english,male,usa,False
135,31.0,0.0,"kilkenny, ireland",english72,english,male,ireland,False
136,24.0,0.0,"darwin, australia",english73,english,male,australia,False
137,21.0,0.0,"wichita, kansas, usa",english74,english,male,usa,False
138,32.0,0.0,"idaho falls, idaho, usa",english75,english,male,usa,False
139,18.0,0.0,"boston, massachusetts, usa",english76,english,female,usa,False
140,26.0,0.0,"melbourne, australia",english77,english,male,australia,False
141,20.0,0.0,"caribou, maine, usa",english78,english,female,usa,False
142,73.0,0.0,"boston, massachusetts, usa",english79,english,male,usa,False
143,21.0,0.0,"perth, australia",english8,english,female,australia,False
144,34.0,0.0,"glasgow, scotland, uk",english80,english,male,uk,False
145,30.0,0.0,"st. paul, minnesota, usa",english81,english,male,usa,False
146,50.0,0.0,"chicago, illinois, usa",english82,english,female,usa,False
147,42.0,0.0,"winnfield, louisiana, usa",english83,english,female,usa,False
148,45.0,0.0,"sydney, australia",english84,english,male,australia,False
149,31.0,0.0,"strabane, northern ireland, uk",english85,english,male,uk,False
150,50.0,0.0,"charleston, south carolina, usa",english86,english,male,usa,False
151,18.0,0.0,"tamworth, australia",english87,english,female,australia,False
152,18.0,0.0,"grand rapids, michigan, usa",english88,english,male,usa,False
153,18.0,0.0,"kingston ma, massachusetts, usa",english89,english,male,usa,False
154,48.0,0.0,"carthage, texas, usa",english9,english,female,usa,False
155,53.0,0.0,"pittsburgh, pennsylvania, usa",english90,english,male,usa,False
156,23.0,0.0,"kingston, jamaica",english91,english,male,jamaica,False
157,22.0,0.0,"wisconsin rapids, wisconsin, usa",english92,english,female,usa,False
158,22.0,0.0,"mamou, louisiana, usa",english93,english,female,usa,False
159,55.0,0.0,"pensacola, florida, usa",english94,english,female,usa,False
160,18.0,0.0,"mishawaka, indiana, usa",english95,english,male,usa,False
161,31.0,0.0,"point pleasant, new jersey, usa",english96,english,male,usa,False
162,42.0,0.0,"wilmington nc, north carolina, usa",english97,english,male,usa,False
163,22.0,0.0,"spokane, washington, usa",english98,english,male,usa,False
164,52.0,0.0,"pittsburgh, pennsylvania, usa",english99,english,female,usa,False
165,25.0,9.0,"accra, ghana",ewe1,ewe,male,ghana,False
166,20.0,11.0,"malabo, equatorial guinea",fang1,fang,female,equatorial guinea,False
167,32.0,6.0,"ajumako, ghana",fanti1,fanti,male,ghana,False
168,22.0,13.0,"tehran, iran",farsi1,farsi,male,iran,False
169,34.0,18.0,"esfahan, iran",farsi2,farsi,female,iran,False
170,28.0,14.0,"esfahan, iran",farsi3,farsi,female,iran,False
171,21.0,15.0,"mazandran, iran",farsi4,farsi,female,iran,False
172,43.0,14.0,"tehran, iran",farsi5,farsi,male,iran,False
173,27.0,9.0,"tehran, iran",farsi6,farsi,male,iran,False
174,29.0,11.0,"tehran, iran",farsi7,farsi,male,iran,False
175,29.0,11.0,"tehran, iran",farsi8,farsi,female,iran,False
176,39.0,12.0,"tehran, iran",farsi9,farsi,male,iran,False
177,22.0,9.0,"lahti, finland",finnish1,finnish,female,finland,False
178,20.0,7.0,"helsinki, finland",finnish2,finnish,male,finland,False
179,20.0,12.0,"st. laurent d'onay, france",french1,french,female,france,False
180,19.0,14.0,"tunis, tunisia",french2,french,male,tunisia,False
181,22.0,11.0,"nice, france",french3,french,female,france,False
182,31.0,14.0,"abidjan, ivory coast",french4,french,female,ivory coast,False
183,36.0,11.0,"douala, cameroon",french5,french,female,cameroon,False
184,26.0,13.0,"booue, gabon",french6,french,female,gabon,False
185,18.0,5.0,"rimouski, quebec, canada",french7,french,male,canada,False
186,66.0,16.0,"ghent, belgium",french8,french,male,belgium,False
187,62.0,13.0,"akkrum, friesland, netherlands",frisian1,frisian,male,netherlands,False
188,30.0,28.0,"tbilisi, republic of georgia",georgian1,georgian,female,republic of georgia,False
189,48.0,12.0,"dusseldorf, germany",german1,german,female,germany,False
190,29.0,12.0,"bemberg, germany",german2,german,female,germany,False
191,19.0,12.0,"meissen, germany",german3,german,female,germany,False
192,19.0,11.0,"stuttgart, germany",german4,german,female,germany,False
193,47.0,12.0,"halle, germany",german5,german,male,germany,False
194,28.0,8.0,"vienna, austria",german6,german,male,austria,False
195,19.0,9.0,"athens, greece",greek1,greek,male,greece,False
196,26.0,9.0,"athens, greece",greek2,greek,female,greece,False
197,37.0,15.0,"karprenici, greece",greek3,greek,female,greece,False
198,20.0,15.0,"ahmedabad, india",gujarati1,gujarati,male,india,False
199,22.0,8.0,"bombay, india",gujarati2,gujarati,male,india,False
200,28.0,2.0,"limerick, ireland",gujarati3,gujarati,female,ireland,False
201,44.0,12.0,"nairobi, kenya",gusii1,gusii,male,kenya,False
202,23.0,10.0,"yehud, israel",hebrew1,hebrew,male,israel,False
203,24.0,10.0,"jerusalem, israel",hebrew2,hebrew,male,israel,False
204,33.0,8.0,"haifa, israel",hebrew3,hebrew,male,israel,False
205,20.0,9.0,"haifa, israel",hebrew4,hebrew,female,israel,False
206,23.0,10.0,"netanya, israel",hebrew5,hebrew,male,israel,False
207,27.0,2.0,"nagpur, maharashtra, india",hindi1,hindi,male,india,False
208,50.0,14.0,"taipei, taiwan",xiang1,xiang,female,taiwan,False
209,22.5,20.0,"cegled, hungary",hungarian1,hungarian,female,hungary,False
210,22.0,8.0,"clug, romania",hungarian2,hungarian,female,romania,False
211,34.0,8.0,"brasov, romania",hungarian3,hungarian,male,romania,False
212,23.0,12.0,"imo state, imo state, nigeria",igbo1,igbo,female,nigeria,False
213,31.0,13.0,"jakarta, indonesia",indonesian1,indonesian,male,indonesia,False
214,18.0,13.0,"jakarta, indonesia",indonesian2,indonesian,male,indonesia,False
215,32.0,13.0,"jakarta, indonesia",indonesian3,indonesian,female,indonesia,False
216,30.0,10.0,"jakarta, indonesia",indonesian4,indonesian,female,indonesia,False
217,29.0,22.0,"carbonia, italy",italian1,italian,female,italy,False
218,46.0,18.0,"caltanissetta, sicily, italy",italian2,italian,male,italy,False
219,55.0,21.0,"florence, italy",italian3,italian,male,italy,False
220,47.0,11.0,"cremona, italy",italian4,italian,female,italy,False
221,25.0,12.0,"tokyo, japan",japanese1,japanese,female,japan,False
222,27.0,12.0,"tokyo, japan",japanese2,japanese,female,japan,False
223,49.0,12.0,"kofu, yamanashi prefecture, japan",japanese3,japanese,female,japan,False
224,20.0,15.0,"tokyo, japan",japanese4,japanese,male,japan,False
225,25.0,12.0,"chiba, japan",japanese5,japanese,female,japan,False
226,30.0,10.0,"kawasaki, japan",japanese6,japanese,female,japan,False
227,18.0,12.0,"osaka, japan",japanese7,japanese,male,japan,False
228,26.0,5.0,"bangalore, india",kannada1,kannada,female,india,False
229,18.0,9.0,"semey, kazakhstan",kazakh1,kazakh,male,kazakhstan,False
230,21.0,16.0,"phnom penh, cambodia",khmer1,khmer,female,cambodia,False
231,19.0,16.0,"phnom penh, cambodia",khmer2,khmer,male,cambodia,False
232,46.0,25.0,"baling, kampongthum, cambodia",khmer3,khmer,male,cambodia,False
233,32.0,28.0,"bishkek, kyrgyzstan",kirghiz1,kirghiz,female,kyrgyzstan,False
234,22.0,6.0,"dar-es-salaam, tanzania",kiswahili1,kiswahili,male,tanzania,False
235,28.0,16.0,"kigoma, tanzania",kiswahili2,kiswahili,male,tanzania,False
236,29.0,6.0,"nairobi, kenya",kiswahili3,kiswahili,male,kenya,False
237,36.0,34.0,"goma, north kivu, democratic republic of congo",kiswahili4,kiswahili,male,democratic republic of congo,False
238,29.0,13.0,"ui jong bu, south korea",korean1,korean,male,south korea,False
239,23.0,14.0,"taegu, south korea",korean2,korean,female,south korea,False
240,19.0,17.0,"seoul, south korea",korean3,korean,female,south korea,False
241,29.0,15.0,"seoul, south korea",korean4,korean,female,south korea,False
242,50.0,12.0,"seoul, south korea",korean5,korean,female,south korea,False
243,21.0,12.0,"sunchun, south korea",korean6,korean,female,south korea,False
244,32.0,10.0,"seoul, south korea",korean7,korean,male,south korea,False
245,46.0,5.0,"freetown, sierra leone",krio1,krio,female,sierra leone,False
246,24.0,15.0,"arbil, iraq",kurdish1,kurdish,male,iraq,False
247,30.0,13.0,"leworook, nusa tenggara, indonesia",lamaholot1,lamaholot,male,indonesia,False
248,19.0,12.0,"savannakhet, laos",lao1,lao,female,laos,False
249,25.0,21.0,"vientiane, laos, ",lao2,lao,female,laos,False
250,24.0,13.0,"riga, latvia",latvian1,latvian,female,latvia,False
251,27.0,24.0,"klaipeda, lithuania",lithuanian1,lithuanian,female,lithuania,False
252,42.0,12.0,"siaya, kenya",luo1,luo,male,kenya,False
253,19.0,11.0,"ohrid, macedonia",macedonian1,macedonian,male,macedonia,False
254,28.0,3.0,"kuala lumpur, malaysia",malay1,malay,female,malaysia,False
255,24.0,5.0,"kerala state, kerala state, india",malayalam1,malayalam,male,india,False
256,26.0,13.0,"shanxi province, shanxi, china",mandarin1,mandarin,female,china,False
257,38.0,14.0,"nanjing, china",mandarin2,mandarin,female,china,False
258,43.0,10.0,"jilin city, jilin, china",mandarin3,mandarin,male,china,False
259,24.0,6.0,"shanghai, china",mandarin4,mandarin,female,china,False
260,31.0,12.0,"beijing, china",mandarin5,mandarin,female,china,False
261,28.0,12.0,"le shan, sichuan, china",mandarin6,mandarin,female,china,False
262,22.0,5.0,"berkeley, california, usa",mandarin7,mandarin,male,usa,False
263,36.0,9.0,"freetown, sierra leone",mandingo1,mandingo,male,sierra leone,False
264,21.0,3.0,"bombay, india",marathi1,marathi,female,india,False
265,28.0,10.0,"madras, india",marathi2,marathi,male,india,False
266,21.0,5.0,"port louis, mauritius",mauritian1,mauritian,male,mauritius,False
267,18.0,15.0,"ulaanbaatar, mongolia",mongolian1,mongolian,female,mongolia,False
268,22.0,17.0,"ulaanbaatar, mongolia",mongolian2,mongolian,male,mongolia,False
269,29.0,12.0,"tenkodogo, burkina faso",moore1,moore,female,burkina faso,False
270,21.0,6.0,"weno, chuuk, federated states of micronesia",mortlockese1,mortlockese,male,federated states of micronesia,False
271,22.0,5.0,"katmandu, nepal",nepali1,nepali,female,nepal,False
272,33.0,10.0,"drammen, norway",norwegian1,norwegian,female,norway,False
273,55.0,12.0,"oslo, norway",norwegian2,norwegian,female,norway,False
274,19.0,5.0,"volda, norway",norwegian3,norwegian,male,norway,False
275,33.0,11.0,"wellga, ethiopia",oromo1,oromo,female,ethiopia,False
276,18.0,3.0,"kolonia, pohnpei, federated states of micronesia",pohnpeian1,pohnpeian,male,federated states of micronesia,False
277,26.0,23.0,"janow, poland",polish1,polish,female,poland,False
278,26.0,25.0,"mielec, poland",polish2,polish,female,poland,False
279,31.0,12.0,"nowy sacz, poland",polish3,polish,female,poland,False
280,47.0,15.0,"krakow, poland",polish4,polish,female,poland,False
281,37.0,16.0,"bahia, brazil",portuguese1,portuguese,female,brazil,False
282,21.0,13.0,"novo hamburgo, rio grande do sul, brazil",portuguese10,portuguese,male,brazil,False
283,18.0,10.0,"brasilia, brazil",portuguese2,portuguese,female,brazil,False
284,18.0,15.0,"blumenau, brazil",portuguese3,portuguese,female,brazil,False
285,20.0,15.0,"cabinda, angola",portuguese4,portuguese,male,angola,False
286,31.0,13.0,"lubango, angola",portuguese5,portuguese,male,angola,False
287,44.0,15.0,"sao paulo, brazil",portuguese6,portuguese,male,brazil,False
288,40.0,11.0,"vitoria, brazil",portuguese7,portuguese,male,brazil,False
289,26.0,7.0,"fortaleza, brazil",portuguese8,portuguese,male,brazil,False
290,18.0,14.0,"sao paulo, brazil",portuguese9,portuguese,male,brazil,False
291,34.0,10.0,"sargodha, pakistan",punjabi1,punjabi,male,pakistan,False
292,26.0,10.0,"hoshiarpur, india",punjabi2,punjabi,male,india,False
293,53.0,15.0,"cochabamba, bolivia",quechua1,quechua,female,bolivia,False
294,32.0,27.0,"huanuco, provincia dos de mayo, peru",quechua2,quechua,female,peru,False
295,24.0,12.0,"timisoara, romania",romanian1,romanian,male,romania,False
296,62.0,14.0,"bucharest, romania",romanian2,romanian,male,romania,False
297,50.0,32.0,"birtem, romania",romanian3,romanian,male,romania,False
298,35.0,32.0,"bucharest, romania",romanian4,romanian,female,romania,False
299,37.0,36.0,"nizhni novgorod, russia",russian1,russian,male,russia,False
300,20.0,5.0,"moscow, russia",russian10,russian,female,russia,False
301,54.0,13.0,"ola magadan, russia",russian11,russian,male,russia,False
302,50.0,10.0,"izmail, ukraine",russian2,russian,female,ukraine,False
303,35.0,6.0,"zaporizhzhya, ukraine",russian3,russian,female,ukraine,False
304,68.0,38.0,"moscow, russia",russian4,russian,female,russia,False
305,25.0,15.0,"khabarovsk, russia",russian5,russian,female,russia,False
306,26.0,11.0,"moscow, russia",russian6,russian,female,russia,False
307,54.0,13.0,"kiev, ukraine",russian7,russian,female,ukraine,False
308,66.0,12.0,"moscow, russia",russian8,russian,male,russia,False
309,23.0,7.0,"moscow, russia",russian9,russian,male,russia,False
310,35.0,11.0,"zofingen, switzerland",sardinian1,sardinian,female,switzerland,False
311,21.0,10.0,"ndjamena, chad",sarua1,sarua,male,chad,False
312,41.0,6.0,"satawal island, yap state, federated states of micronesia",satawalese1,satawalese,male,federated states of micronesia,False
313,30.0,6.0,"satawal island, yap state, federated states of micronesia",satawalese2,satawalese,female,federated states of micronesia,False
314,47.0,47.0,"bosanska krupa, bosnia",serbian1,serbian,female,bosnia,False
315,36.0,15.0,"zrenjanin, serbia, yugoslavia",serbian2,serbian,male,yugoslavia,False
316,77.0,23.0,"fiumedinisi, sicily",sicilian1,sicilian,male,sicily,False
319,25.0,14.0,"kosice, slovak republic",slovak1,slovak,female,slovak republic,False
320,23.0,17.0,"piestany, slovak republic",slovak2,slovak,female,slovak republic,False
321,51.0,16.0,"nitra, slovak republic",slovak3,slovak,female,slovak republic,False
322,26.0,24.0,"mogadishu, somalia",somali1,somali,female,somalia,False
323,24.0,17.0,"caracas, venezuela",spanish1,spanish,male,venezuela,False
324,48.0,47.0,"san luis de la reina, el salvador",spanish10,spanish,male,el salvador,False
325,49.0,28.0,"lima, peru",spanish11,spanish,female,peru,False
326,25.0,8.0,"oviedo, spain",spanish12,spanish,male,spain,False
327,29.0,11.0,"duitama, colombia",spanish13,spanish,female,colombia,False
328,34.0,15.0,"pereira, colombia",spanish14,spanish,female,colombia,False
329,54.0,4.0,"san juan, puerto rico",spanish15,spanish,male,puerto rico,False
330,44.0,25.0,"buenos aires, argentina",spanish16,spanish,male,argentina,False
331,22.0,9.0,"puebla, mexico",spanish17,spanish,female,mexico,False
332,22.0,17.0,"la paz, bolivia",spanish18,spanish,male,bolivia,False
333,25.0,17.0,"havana, cuba",spanish19,spanish,female,cuba,False
334,20.0,12.0,"puerto la cruz, venezuela",spanish2,spanish,male,venezuela,False
335,45.0,30.0,"managua, nicaragua",spanish20,spanish,male,nicaragua,False
336,25.0,18.0,"santiago, chile",spanish21,spanish,male,chile,False
337,32.0,11.0,"madrid, spain",spanish22,spanish,female,spain,False
338,22.0,7.0,"santiago, chile",spanish23,spanish,male,chile,False
339,27.0,5.0,"mexico city, mexico",spanish24,spanish,male,mexico,False
340,26.0,21.0,"san jose, costa rica",spanish25,spanish,male,costa rica,False
341,18.0,6.0,"burgos, spain",spanish26,spanish,male,spain,False
342,34.0,14.0,"zaragoza, spain",spanish27,spanish,male,spain,False
343,20.0,18.0,"san miguel, el salvador",spanish28,spanish,female,el salvador,False
344,17.0,16.0,"bogota, colombia",spanish3,spanish,female,colombia,False
345,21.0,17.0,"cabanas, el salvador",spanish4,spanish,female,el salvador,False
346,52.0,13.0,"bogota, colombia",spanish5,spanish,female,colombia,False
347,20.0,19.0,"lima, peru",spanish6,spanish,male,peru,False
348,21.0,20.0,"bogota, colombia",spanish7,spanish,female,colombia,False
349,21.0,12.0,"san salvador, el salvador",spanish8,spanish,male,el salvador,False
350,20.0,17.0,"araure, venezuela",spanish9,spanish,male,venezuela,False
351,56.0,11.0,"solna, sweden",swedish1,swedish,female,sweden,False
352,20.0,10.0,"uppsala, sweden",swedish2,swedish,male,sweden,False
353,24.0,10.0,"stockholm, sweden",swedish3,swedish,male,sweden,False
354,22.0,10.0,"lulea, sweden",swedish4,swedish,male,sweden,False
359,18.0,10.0,"manila, philippines",tagalog1,tagalog,male,philippines,False
360,21.0,7.0,"urdaneta, luzon, philippines",tagalog2,tagalog,female,philippines,False
361,19.0,1.0,"honiara, guadalcanal, solomon islands",tagalog3,tagalog,female,solomon islands,False
362,21.0,7.0,"taishan, guangdong, china",taishan1,taishan,male,china,False
363,36.0,13.0,"ping tung, taiwan",taiwanese1,taiwanese,female,taiwan,False
364,24.0,17.0,"taipei, taiwan",taiwanese2,taiwanese,female,taiwan,False
365,30.0,13.0,"tainan, taiwan",taiwanese3,taiwanese,female,taiwan,False
366,45.0,21.0,"kao-hsiung, taiwan",taiwanese4,taiwanese,female,taiwan,False
367,39.0,7.0,"colombo, sri lanka",tamil1,tamil,male,sri lanka,False
368,29.0,10.0,"kargali, tatarstan, russia",tatar1,tatar,female,russia,False
369,31.0,6.0,"kadapa, india",telugu1,telugu,male,india,False
370,18.0,6.0,"guntur, andhra pradesh, india",telugu2,telugu,male,india,False
371,25.0,10.0,"khon kaen, thailand",thai1,thai,female,thailand,False
372,20.0,10.0,"chiang mai, thailand",thai2,thai,male,thailand,False
373,22.0,4.0,"bangkok, thailand",thai3,thai,male,thailand,False
374,26.0,13.0,"lhasa, tibet",tibetan1,tibetan,female,tibet,False
375,41.0,35.0,"khamba, tibet",tibetan2,tibetan,female,tibet,False
376,20.0,7.0,"mysore, india",tibetan3,tibetan,female,india,False
377,25.0,17.0,"adigrat, ethiopia",tigrigna1,tigrigna,female,ethiopia,False
378,23.0,20.0,"asmara, eritrea",tigrigna2,tigrigna,female,eritrea,False
379,44.0,7.0,"asmara, eritrea",tigrigna3,tigrigna,male,eritrea,False
381,27.0,26.0,"bingol, turkey",turkish1,turkish,female,turkey,False
382,24.0,16.0,"ankara, turkey",turkish2,turkish,male,turkey,False
383,27.0,12.0,"adana, turkey",turkish3,turkish,male,turkey,False
